id,user_id,order_date,status,_etl_loaded_at
1,1,1/1/2018,returned,5/13/2026 18:30
2,3,1/2/2018,completed,5/13/2026 18:30
3,94,1/4/2018,completed,5/13/2026 18:30
4,50,1/5/2018,completed,5/13/2026 18:30
5,64,1/5/2018,completed,5/13/2026 18:30
6,54,1/7/2018,completed,5/13/2026 18:30
7,88,1/9/2018,completed,5/13/2026 18:30
8,2,1/11/2018,returned,5/13/2026 18:30
9,53,1/12/2018,completed,5/13/2026 18:30
10,7,1/14/2018,completed,5/13/2026 18:30
11,99,1/14/2018,completed,5/13/2026 18:30
12,59,1/15/2018,completed,5/13/2026 18:30
13,84,1/17/2018,completed,5/13/2026 18:30
14,40,1/17/2018,returned,5/13/2026 18:30
15,25,1/17/2018,completed,5/13/2026 18:30
16,39,1/18/2018,completed,5/13/2026 18:30
17,71,1/18/2018,completed,5/13/2026 18:30
18,64,1/20/2018,returned,5/13/2026 18:30
19,54,1/22/2018,completed,5/13/2026 18:30
20,20,1/23/2018,completed,5/13/2026 18:30
21,71,1/23/2018,completed,5/13/2026 18:30
22,86,1/24/2018,completed,5/13/2026 18:30
23,22,1/26/2018,return_pending,5/13/2026 18:30
24,3,1/27/2018,completed,5/13/2026 18:30
25,51,1/28/2018,completed,5/13/2026 18:30
26,32,1/28/2018,completed,5/13/2026 18:30
27,94,1/29/2018,completed,5/13/2026 18:30
28,8,1/29/2018,completed,5/13/2026 18:30
29,57,1/31/2018,completed,5/13/2026 18:30
30,69,2/2/2018,completed,5/13/2026 18:30
31,16,2/2/2018,completed,5/13/2026 18:30
32,28,2/4/2018,completed,5/13/2026 18:30
33,42,2/4/2018,completed,5/13/2026 18:30
34,38,2/6/2018,completed,5/13/2026 18:30
35,80,2/8/2018,completed,5/13/2026 18:30
36,85,2/10/2018,completed,5/13/2026 18:30
37,1,2/10/2018,completed,5/13/2026 18:30
38,51,2/10/2018,completed,5/13/2026 18:30
39,26,2/11/2018,completed,5/13/2026 18:30
40,33,2/13/2018,completed,5/13/2026 18:30
41,99,2/14/2018,completed,5/13/2026 18:30
42,92,2/16/2018,completed,5/13/2026 18:30
43,31,2/17/2018,completed,5/13/2026 18:30
44,66,2/17/2018,completed,5/13/2026 18:30
45,22,2/17/2018,completed,5/13/2026 18:30
46,6,2/19/2018,completed,5/13/2026 18:30
47,50,2/20/2018,completed,5/13/2026 18:30
48,27,2/21/2018,completed,5/13/2026 18:30
49,35,2/21/2018,completed,5/13/2026 18:30
50,51,2/23/2018,completed,5/13/2026 18:30
51,71,2/24/2018,completed,5/13/2026 18:30
52,54,2/25/2018,return_pending,5/13/2026 18:30
53,34,2/26/2018,completed,5/13/2026 18:30
54,54,2/26/2018,completed,5/13/2026 18:30
55,18,2/27/2018,completed,5/13/2026 18:30
56,79,2/28/2018,completed,5/13/2026 18:30
57,93,3/1/2018,completed,5/13/2026 18:30
58,22,3/1/2018,completed,5/13/2026 18:30
59,30,3/2/2018,completed,5/13/2026 18:30
60,12,3/3/2018,completed,5/13/2026 18:30
61,63,3/3/2018,completed,5/13/2026 18:30
62,57,3/5/2018,completed,5/13/2026 18:30
63,70,3/6/2018,completed,5/13/2026 18:30
64,13,3/7/2018,completed,5/13/2026 18:30
65,26,3/8/2018,completed,5/13/2026 18:30
66,36,3/10/2018,completed,5/13/2026 18:30
67,79,3/11/2018,completed,5/13/2026 18:30
68,53,3/11/2018,completed,5/13/2026 18:30
69,3,3/11/2018,completed,5/13/2026 18:30
70,8,3/12/2018,completed,5/13/2026 18:30
71,42,3/12/2018,shipped,5/13/2026 18:30
72,30,3/14/2018,shipped,5/13/2026 18:30
73,19,3/16/2018,completed,5/13/2026 18:30
74,9,3/17/2018,shipped,5/13/2026 18:30
75,69,3/18/2018,completed,5/13/2026 18:30
76,25,3/20/2018,completed,5/13/2026 18:30
77,35,3/21/2018,shipped,5/13/2026 18:30
78,90,3/23/2018,shipped,5/13/2026 18:30
79,52,3/23/2018,shipped,5/13/2026 18:30
80,11,3/23/2018,shipped,5/13/2026 18:30
81,76,3/23/2018,shipped,5/13/2026 18:30
82,46,3/24/2018,shipped,5/13/2026 18:30
83,54,3/24/2018,shipped,5/13/2026 18:30
84,70,3/26/2018,placed,5/13/2026 18:30
85,47,3/26/2018,shipped,5/13/2026 18:30
86,68,3/26/2018,placed,5/13/2026 18:30
87,46,3/27/2018,placed,5/13/2026 18:30
88,91,3/27/2018,shipped,5/13/2026 18:30
89,21,3/28/2018,placed,5/13/2026 18:30
90,66,3/30/2018,shipped,5/13/2026 18:30
91,47,3/31/2018,placed,5/13/2026 18:30
92,84,4/2/2018,placed,5/13/2026 18:30
93,66,4/3/2018,placed,5/13/2026 18:30
94,63,4/3/2018,placed,5/13/2026 18:30
95,27,4/4/2018,placed,5/13/2026 18:30
96,90,4/6/2018,placed,5/13/2026 18:30
97,89,4/7/2018,placed,5/13/2026 18:30
98,41,4/7/2018,placed,5/13/2026 18:30
99,85,4/9/2018,placed,5/13/2026 18:30
